Município,CÓDIGO,NOME,2022/jan.,2022/fev.,2022/mar.,2022/abr.,2022/mai.,2022/jun.,2022/jul.,2022/ago.,SOMA,SUBTRAÇÃO,MÉDIA
313430 ITUMIRIM,,,-,-,-,-,-,-,-,-,,,
313440 ITURAMA,,,31,19,5,2,7,10,4,5,,,
313450 ITUTINGA,,,-,-,-,-,-,-,-,-,,,
313460 JABOTICATUBAS,,,22,7,1,2,1,3,2,-,,,
313470 JACINTO,,,10,11,10,9,5,5,9,13,,,
313480 JACUI,,,-,-,-,-,-,-,-,-,,,
313490 JACUTINGA,,,2,4,8,4,2,1,-,-,,,
313500 JAGUARACU,,,-,-,-,-,-,-,-,-,,,
313505 JAIBA,,,13,14,6,6,5,12,14,2,,,
313507 JAMPRUCA,,,-,-,-,-,-,-,-,-,,,
313510 JANAUBA,,,73,63,37,30,28,21,28,12,,,
313520 JANUARIA,,,31,37,18,16,18,8,8,9,,,
313530 JAPARAIBA,,,-,-,-,-,-,-,-,-,,,
313535 JAPONVAR,,,-,-,-,-,-,-,-,-,,,
313540 JECEABA,,,1,2,-,2,1,1,1,-,,,
313545 JENIPAPO DE MINAS,,,-,-,-,-,-,-,-,-,,,
313550 JEQUERI,,,-,-,-,-,-,-,-,-,,,
313560 JEQUITAI,,,-,-,-,-,-,-,-,-,,,
313570 JEQUITIBA,,,-,-,-,-,-,-,-,-,,,
313580 JEQUITINHONHA,,,11,11,8,5,3,5,-,-,,,
313590 JESUANIA,,,-,-,-,-,-,-,-,-,,,
313600 JOAIMA,,,15,7,-,-,-,-,-,-,,,
313610 JOANESIA,,,-,-,-,-,-,-,-,-,,,
313620 JOAO MONLEVADE,,,51,44,22,16,13,17,13,8,,,
313630 JOAO PINHEIRO,,,27,31,6,11,13,2,2,-,,,
313640 JOAQUIM FELICIO,,,-,-,-,-,-,-,-,-,,,
313650 JORDANIA,,,6,6,4,9,5,9,3,6,,,
313652 JOSE GONCALVES DE MINAS,,,-,-,-,-,-,-,-,-,,,
313655 JOSE RAYDAN,,,-,-,-,-,-,-,-,-,,,
313657 JOSENOPOLIS,,,-,-,-,-,-,-,-,-,,,
313660 NOVA UNIAO,,,-,-,-,-,-,-,-,-,,,
313665 JUATUBA,,,-,-,-,-,-,-,-,-,,,
313670 JUIZ DE FORA,,,409,345,205,150,110,94,85,-,,,
313680 JURAMENTO,,,-,-,-,-,-,-,-,-,,,
313690 JURUAIA,,,8,8,1,1,1,4,1,-,,,
313695 JUVENILIA,,,-,-,-,-,-,-,-,-,,,
313700 LADAINHA,,,21,7,5,11,10,12,6,4,,,
313710 LAGAMAR,,,4,3,1,-,3,2,2,-,,,
313720 LAGOA DA PRATA,,,5,6,9,7,1,5,4,3,,,
313730 LAGOA DOS PATOS,,,-,-,-,-,-,-,-,-,,,
313740 LAGOA DOURADA,,,-,-,-,-,-,-,-,-,,,
313750 LAGOA FORMOSA,,,11,12,10,2,3,2,5,-,,,
313753 LAGOA GRANDE,,,-,-,-,-,-,-,-,-,,,
313760 LAGOA SANTA,,,20,12,9,9,9,14,6,-,,,
313770 LAJINHA,,,14,5,17,6,3,5,11,2,,,
313780 LAMBARI,,,14,15,2,2,1,10,5,1,,,
313790 LAMIM,,,-,-,-,-,-,-,-,-,,,
313800 LARANJAL,,,-,1,1,1,2,-,1,1,,,
313810 LASSANCE,,,-,-,-,-,-,-,-,-,,,
313820 LAVRAS,,,55,33,19,26,29,38,21,20,,,
313830 LEANDRO FERREIRA,,,-,-,-,-,-,-,-,-,,,
313835 LEME DO PRADO,,,-,-,-,-,-,-,-,-,,,
313840 LEOPOLDINA,,,79,38,9,15,8,9,3,-,,,
313850 LIBERDADE,,,-,-,-,-,-,-,-,-,,,
313860 LIMA DUARTE,,,1,3,2,2,2,2,-,-,,,
313862 LIMEIRA DO OESTE,,,-,-,-,-,-,-,-,-,,,
313865 LONTRA,,,-,-,-,-,-,-,-,-,,,
313867 LUISBURGO,,,-,-,-,-,-,-,-,-,,,
313868 LUISLANDIA,,,-,-,-,-,-,-,-,-,,,
313870 LUMINARIAS,,,-,-,-,-,-,-,-,-,,,
313880 LUZ,,,26,13,23,36,18,12,12,-,,,
313890 MACHACALIS,,,32,28,32,15,26,12,-,-,,,
313900 MACHADO,,,17,9,13,9,22,14,7,4,,,
313910 MADRE DE DEUS DE MINAS,,,-,-,-,-,-,-,-,-,,,
313920 MALACACHETA,,,17,19,7,3,4,15,34,5,,,
313925 MAMONAS,,,-,-,-,-,-,-,-,-,,,
313930 MANGA,,,44,22,27,19,10,8,-,-,,,
313940 MANHUACU,,,69,94,49,35,48,39,27,13,,,
313950 MANHUMIRIM,,,54,50,15,3,9,5,6,5,,,
313960 MANTENA,,,36,37,13,15,21,32,13,11,,,
313970 MARAVILHAS,,,-,-,-,-,-,-,-,-,,,
313980 MAR DE ESPANHA,,,4,2,1,5,3,4,1,2,,,
313990 MARIA DA FE,,,7,7,4,1,2,7,1,1,,,
314000 MARIANA,,,27,18,10,8,2,9,8,6,,,
314010 MARILAC,,,-,-,-,-,-,-,-,-,,,
314015 MARIO CAMPOS,,,-,-,-,-,-,-,-,-,,,
314020 MARIPA DE MINAS,,,-,-,-,-,-,-,-,-,,,
314030 MARLIERIA,,,-,-,-,-,-,-,-,-,,,
314040 MARMELOPOLIS,,,-,-,-,-,-,-,-,-,,,
314050 MARTINHO CAMPOS,,,1,1,-,1,2,4,6,-,,,
314053 MARTINS SOARES,,,-,-,-,-,-,-,-,-,,,
314055 MATA VERDE,,,-,-,-,-,-,-,-,-,,,
314060 MATERLANDIA,,,-,-,-,-,-,-,-,-,,,
314070 MATEUS LEME,,,22,20,6,10,6,5,6,-,,,
314080 MATIAS BARBOSA,,,-,-,-,-,-,-,-,-,,,
314085 MATIAS CARDOSO,,,-,-,-,-,-,-,-,-,,,
314090 MATIPO,,,17,14,7,3,2,4,6,3,,,
314100 MATO VERDE,,,-,-,-,-,-,-,-,-,,,
314110 MATOZINHOS,,,5,3,7,-,-,-,-,-,,,
314120 MATUTINA,,,1,4,1,-,-,-,-,-,,,
314130 MEDEIROS,,,-,-,-,-,-,-,-,-,,,
314140 MEDINA,,,24,22,17,7,5,10,2,1,,,
314150 MENDES PIMENTEL,,,6,1,-,3,2,2,3,1,,,
314160 MERCES,,,3,5,5,5,5,-,2,4,,,
314170 MESQUITA,,,-,-,-,-,-,-,-,-,,,
314180 MINAS NOVAS,,,13,2,12,16,21,7,8,5,,,
314190 MINDURI,,,2,1,1,-,-,-,-,-,,,
314200 MIRABELA,,,14,21,34,33,38,47,34,18,,,
314210 MIRADOURO,,,-,-,-,-,-,-,-,-,,,
314220 MIRAI,,,11,6,9,9,23,14,4,21,,,
314225 MIRAVANIA,,,-,-,-,-,-,-,-,-,,,
314230 MOEDA,,,-,-,-,-,-,-,-,-,,,
314240 MOEMA,,,1,5,1,2,4,7,1,3,,,
314250 MONJOLOS,,,-,-,-,-,-,-,-,-,,,
314260 MONSENHOR PAULO,,,1,1,3,3,2,3,3,2,,,
314270 MONTALVANIA,,,9,7,3,23,5,2,-,-,,,
314280 MONTE ALEGRE DE MINAS,,,14,5,1,1,6,2,-,-,,,
314290 MONTE AZUL,,,29,11,30,33,23,9,4,-,,,
314300 MONTE BELO,,,13,23,1,-,-,5,2,1,,,
314310 MONTE CARMELO,,,57,44,46,49,49,36,33,39,,,
314315 MONTE FORMOSO,,,-,-,-,-,-,-,-,-,,,
314320 MONTE SANTO DE MINAS,,,9,12,13,13,10,3,5,7,,,
314330 MONTES CLAROS,,,178,203,151,179,170,143,114,64,,,
314340 MONTE SIAO,,,-,-,-,-,-,-,-,-,,,
314345 MONTEZUMA,,,-,-,-,-,-,-,-,-,,,
314350 MORADA NOVA DE MINAS,,,3,9,1,2,2,2,-,1,,,
314360 MORRO DA GARCA,,,-,-,-,-,-,-,-,-,,,
314370 MORRO DO PILAR,,,-,-,-,-,-,-,-,-,,,
314380 MUNHOZ,,,-,-,-,-,-,-,-,-,,,
314390 MURIAE,,,108,73,32,24,26,7,2,-,,,
314400 MUTUM,,,60,53,46,43,44,55,52,56,,,
314410 MUZAMBINHO,,,5,11,-,4,2,7,3,3,,,
314420 NACIP RAYDAN,,,-,-,-,-,-,-,-,-,,,
314430 NANUQUE,,,55,55,39,23,18,13,35,18,,,
314435 NAQUE,,,-,-,-,-,-,-,-,-,,,
314437 NATALANDIA,,,-,-,-,-,-,-,-,-,,,
314440 NATERCIA,,,-,-,-,-,-,-,-,-,,,
314450 NAZARENO,,,5,3,1,-,-,-,-,-,,,
314460 NEPOMUCENO,,,20,10,12,3,11,10,9,2,,,
314465 NINHEIRA,,,-,-,-,-,-,-,-,-,,,
314467 NOVA BELEM,,,-,-,-,-,-,-,-,-,,,
314470 NOVA ERA,,,11,4,2,2,-,3,6,4,,,
314480 NOVA LIMA,,,77,41,26,28,27,23,23,15,,,
314490 NOVA MODICA,,,-,-,-,-,-,-,-,-,,,
314500 NOVA PONTE,,,5,6,1,-,1,4,-,-,,,
314505 NOVA PORTEIRINHA,,,-,-,-,-,-,-,-,-,,,
314510 NOVA RESENDE,,,4,7,4,2,2,2,1,-,,,
314520 NOVA SERRANA,,,38,33,6,9,9,8,4,1,,,
314530 NOVO CRUZEIRO,,,15,17,19,25,46,26,48,56,,,
314535 NOVO ORIENTE DE MINAS,,,-,-,-,-,-,-,-,-,,,
314537 NOVORIZONTE,,,-,-,-,-,-,-,-,-,,,
314540 OLARIA,,,-,-,-,-,-,-,-,-,,,
314545 OLHOS-D'AGUA,,,-,-,-,-,-,-,-,-,,,
314550 OLIMPIO NORONHA,,,-,-,-,-,-,-,-,-,,,
314560 OLIVEIRA,,,63,25,14,21,16,10,8,12,,,
314570 OLIVEIRA FORTES,,,-,-,-,-,-,-,-,-,,,
314580 ONCA DE PITANGUI,,,-,-,-,-,-,-,-,-,,,
314585 ORATORIOS,,,-,-,-,-,-,-,-,-,,,
314587 ORIZANIA,,,-,-,-,-,-,-,-,-,,,
314590 OURO BRANCO,,,15,13,4,5,6,5,5,1,,,
314600 OURO FINO,,,32,19,19,31,25,12,11,14,,,
314610 OURO PRETO,,,60,19,14,14,9,12,10,8,,,
314620 OURO VERDE DE MINAS,,,-,-,-,-,-,-,-,-,,,
314625 PADRE CARVALHO,,,-,-,-,-,-,-,-,-,,,
314630 PADRE PARAISO,,,16,10,6,5,6,2,5,3,,,
314640 PAINEIRAS,,,-,-,-,-,-,-,-,-,,,
314650 PAINS,,,2,1,1,1,-,-,-,-,,,
314655 PAI PEDRO,,,-,-,-,-,-,-,-,-,,,
314660 PAIVA,,,-,-,-,-,-,-,-,-,,,
314670 PALMA,,,1,2,-,1,4,1,-,-,,,
314675 PALMOPOLIS,,,-,-,-,-,-,-,-,-,,,
314690 PAPAGAIOS,,,-,-,-,-,-,-,-,-,,,
314700 PARACATU,,,41,57,54,36,73,58,57,50,,,
314710 PARA DE MINAS,,,47,60,22,23,23,2,-,-,,,
314720 PARAGUACU,,,1,1,7,9,14,2,-,1,,,
314730 PARAISOPOLIS,,,21,14,3,5,3,1,3,3,,,
314740 PARAOPEBA,,,-,-,-,-,-,-,-,-,,,
314750 PASSABEM,,,-,1,1,-,1,-,-,-,,,
314760 PASSA QUATRO,,,-,1,1,1,-,1,3,2,,,
314770 PASSA TEMPO,,,5,4,2,1,4,3,3,-,,,
314780 PASSA-VINTE,,,-,-,-,-,-,-,-,-,,,
314790 PASSOS,,,118,115,72,62,74,60,59,40,,,
314795 PATIS,,,-,-,-,-,-,-,-,-,,,
314800 PATOS DE MINAS,,,95,67,50,47,54,76,43,19,,,
314810 PATROCINIO,,,24,37,22,13,20,19,18,11,,,
314820 PATROCINIO DO MURIAE,,,-,-,-,-,-,-,-,-,,,
314830 PAULA CANDIDO,,,-,-,-,-,-,-,-,-,,,
314840 PAULISTAS,,,-,-,-,-,-,-,-,-,,,
314850 PAVAO,,,-,-,-,-,-,-,-,-,,,
314860 PECANHA,,,35,20,17,5,9,12,18,8,,,
314870 PEDRA AZUL,,,76,42,36,36,30,36,29,28,,,
314875 PEDRA BONITA,,,-,-,-,-,-,-,-,-,,,
314880 PEDRA DO ANTA,,,-,-,-,-,-,-,-,-,,,
314890 PEDRA DO INDAIA,,,-,-,-,-,-,-,-,-,,,
314900 PEDRA DOURADA,,,-,-,-,-,-,-,-,-,,,
314910 PEDRALVA,,,6,1,4,2,6,7,-,-,,,
314915 PEDRAS DE MARIA DA CRUZ,,,-,-,-,-,-,-,-,-,,,
314920 PEDRINOPOLIS,,,-,-,-,-,-,-,-,-,,,
314930 PEDRO LEOPOLDO,,,21,20,17,15,22,21,11,-,,,
314940 PEDRO TEIXEIRA,,,-,-,-,-,-,-,-,-,,,
314950 PEQUERI,,,-,-,-,-,-,-,-,-,,,
314960 PEQUI,,,-,-,-,-,-,-,-,-,,,
314970 PERDIGAO,,,-,-,-,-,-,-,-,-,,,
314980 PERDIZES,,,9,10,5,9,6,10,6,2,,,
314990 PERDOES,,,5,4,8,6,9,4,-,-,,,
314995 PERIQUITO,,,-,-,-,-,-,-,-,-,,,
315000 PESCADOR,,,-,-,-,-,-,-,-,-,,,
315010 PIAU,,,-,-,-,-,-,-,-,-,,,
315015 PIEDADE DE CARATINGA,,,-,-,-,-,-,-,-,-,,,
315020 PIEDADE DE PONTE NOVA,,,-,-,-,-,-,-,-,-,,,
315030 PIEDADE DO RIO GRANDE,,,8,3,1,2,1,4,-,-,,,
315040 PIEDADE DOS GERAIS,,,-,-,-,-,-,-,-,-,,,
315050 PIMENTA,,,-,3,3,2,2,-,-,-,,,
315053 PINGO-D'AGUA,,,-,-,-,-,-,-,-,-,,,
315057 PINTOPOLIS,,,-,-,-,-,-,-,-,-,,,
315060 PIRACEMA,,,-,-,-,-,-,-,-,-,,,
315070 PIRAJUBA,,,-,-,-,-,-,-,-,-,,,
315080 PIRANGA,,,9,6,7,2,-,5,-,3,,,
315090 PIRANGUCU,,,-,-,-,-,-,-,-,-,,,
315100 PIRANGUINHO,,,-,-,-,-,-,-,-,-,,,
315110 PIRAPETINGA,,,1,2,2,11,8,2,1,-,,,
315120 PIRAPORA,,,59,33,15,19,13,23,8,13,,,
315130 PIRAUBA,,,-,-,-,-,-,-,-,-,,,
315140 PITANGUI,,,17,22,10,6,6,13,4,1,,,
315150 PIUMHI,,,45,34,23,22,13,35,23,6,,,
315160 PLANURA,,,-,-,-,-,-,-,-,-,,,
315170 POCO FUNDO,,,31,24,3,1,6,6,4,1,,,
315180 POCOS DE CALDAS,,,138,132,79,74,76,78,62,27,,,
315190 POCRANE,,,-,-,-,3,1,-,1,-,,,
315200 POMPEU,,,5,12,3,3,2,2,4,1,,,
315210 PONTE NOVA,,,77,63,26,29,34,30,3,-,,,
315213 PONTO CHIQUE,,,-,-,-,-,-,-,-,-,,,
315217 PONTO DOS VOLANTES,,,-,-,-,-,-,-,-,-,,,
315220 PORTEIRINHA,,,35,39,23,16,8,2,-,-,,,
315230 PORTO FIRME,,,-,-,-,-,-,-,-,-,,,
315240 POTE,,,9,2,1,2,5,2,-,-,,,
315250 POUSO ALEGRE,,,197,119,106,79,111,37,-,1,,,
315260 POUSO ALTO,,,3,1,-,1,4,3,3,1,,,
315270 PRADOS,,,15,7,3,1,1,-,1,-,,,
315280 PRATA,,,4,7,8,5,4,-,-,-,,,
315290 PRATAPOLIS,,,-,-,-,2,1,-,-,-,,,
315300 PRATINHA,,,-,-,-,-,-,-,-,-,,,
315310 PRESIDENTE BERNARDES,,,-,-,2,-,-,1,1,1,,,
315320 PRESIDENTE JUSCELINO,,,-,-,-,-,-,-,-,-,,,
315330 PRESIDENTE KUBITSCHEK,,,-,-,-,-,-,-,-,-,,,
315340 PRESIDENTE OLEGARIO,,,13,10,8,2,3,5,1,-,,,
315350 ALTO JEQUITIBA,,,-,-,-,-,-,-,-,-,,,
315360 PRUDENTE DE MORAIS,,,-,-,-,-,-,-,-,-,,,
315370 QUARTEL GERAL,,,-,-,-,-,-,-,-,-,,,
315380 QUELUZITO,,,-,-,-,-,-,-,-,-,,,
315390 RAPOSOS,,,-,-,-,-,-,-,-,-,,,
315400 RAUL SOARES,,,5,22,8,4,8,5,3,2,,,
315410 RECREIO,,,4,1,2,9,2,3,1,3,,,
315415 REDUTO,,,-,-,-,-,-,-,-,-,,,
315420 RESENDE COSTA,,,20,8,6,2,3,6,6,-,,,
315430 RESPLENDOR,,,86,53,47,34,33,27,39,14,,,
315440 RESSAQUINHA,,,-,-,-,-,-,-,-,-,,,
315445 RIACHINHO,,,-,-,-,-,-,-,-,-,,,
315450 RIACHO DOS MACHADOS,,,-,-,-,-,-,-,-,-,,,
315460 RIBEIRAO DAS NEVES,,,45,29,17,21,11,22,14,5,,,
315470 RIBEIRAO VERMELHO,,,1,1,-,1,-,1,-,1,,,
315480 RIO ACIMA,,,-,-,-,-,-,-,-,-,,,
315490 RIO CASCA,,,5,1,-,1,2,-,-,1,,,
315500 RIO DOCE,,,-,-,-,-,-,-,-,-,,,
315510 RIO DO PRADO,,,-,-,-,-,-,-,-,-,,,
315520 RIO ESPERA,,,2,-,-,-,-,-,-,-,,,
315530 RIO MANSO,,,-,-,-,-,-,-,-,-,,,
315540 RIO NOVO,,,-,-,-,-,-,-,-,-,,,
315550 RIO PARANAIBA,,,3,10,1,5,-,-,-,-,,,
315560 RIO PARDO DE MINAS,,,12,18,5,10,16,2,4,4,,,
315570 RIO PIRACICABA,,,8,6,3,3,5,3,5,4,,,
315580 RIO POMBA,,,62,22,6,10,29,15,16,5,,,
315590 RIO PRETO,,,-,2,2,1,1,2,-,1,,,
315600 RIO VERMELHO,,,-,-,-,-,-,-,-,-,,,
315610 RITAPOLIS,,,-,-,-,-,-,-,-,-,,,
315620 ROCHEDO DE MINAS,,,-,-,-,-,-,-,-,-,,,
315630 RODEIRO,,,-,-,-,-,-,-,-,-,,,
315640 ROMARIA,,,-,-,-,-,-,-,-,-,,,
315645 ROSARIO DA LIMEIRA,,,-,-,-,-,-,-,-,-,,,
315650 RUBELITA,,,-,-,-,-,-,-,-,-,,,
315660 RUBIM,,,8,5,3,4,3,1,4,3,,,
315670 SABARA,,,22,20,11,8,9,7,5,7,,,
315680 SABINOPOLIS,,,47,20,22,23,26,12,22,33,,,
315690 SACRAMENTO,,,16,12,12,14,13,14,4,6,,,
315700 SALINAS,,,35,51,36,16,20,13,21,20,,,
315710 SALTO DA DIVISA,,,12,4,7,7,4,9,4,-,,,
315720 SANTA BARBARA,,,16,9,4,8,4,3,8,4,,,
315725 SANTA BARBARA DO LESTE,,,-,-,-,-,-,-,-,-,,,
315727 SANTA BARBARA DO MONTE VERDE,,,-,-,-,-,-,-,-,-,,,
315730 SANTA BARBARA DO TUGURIO,,,-,-,-,-,-,-,-,-,,,
315733 SANTA CRUZ DE MINAS,,,-,-,-,-,-,-,-,-,,,
315737 SANTA CRUZ DE SALINAS,,,-,-,-,-,-,-,-,-,,,
315740 SANTA CRUZ DO ESCALVADO,,,-,-,-,-,-,-,-,-,,,
315750 SANTA EFIGENIA DE MINAS,,,-,-,-,-,-,-,-,-,,,
315760 SANTA FE DE MINAS,,,-,-,-,-,-,-,-,-,,,
315765 SANTA HELENA DE MINAS,,,-,-,-,-,-,-,-,-,,,
315770 SANTA JULIANA,,,12,11,6,2,4,1,2,1,,,
315780 SANTA LUZIA,,,151,62,50,23,28,26,31,2,,,
315790 SANTA MARGARIDA,,,17,14,7,7,4,7,3,6,,,
315800 SANTA MARIA DE ITABIRA,,,-,-,-,-,-,-,-,-,,,
315810 SANTA MARIA DO SALTO,,,-,-,-,-,-,-,-,-,,,
315820 SANTA MARIA DO SUACUI,,,39,40,28,28,28,19,-,-,,,
315830 SANTANA DA VARGEM,,,-,-,-,-,-,-,-,-,,,
315840 SANTANA DE CATAGUASES,,,-,-,-,-,-,-,-,-,,,
315850 SANTANA DE PIRAPAMA,,,-,-,-,-,-,-,-,-,,,
315860 SANTANA DO DESERTO,,,-,-,-,-,-,-,-,-,,,
315870 SANTANA DO GARAMBEU,,,-,-,-,-,-,-,-,-,,,
315880 SANTANA DO JACARE,,,-,-,-,-,-,-,-,-,,,
315890 SANTANA DO MANHUACU,,,-,-,-,-,-,-,-,-,,,
315895 SANTANA DO PARAISO,,,-,-,-,-,-,-,-,-,,,
315900 SANTANA DO RIACHO,,,-,-,-,-,-,-,-,-,,,
315910 SANTANA DOS MONTES,,,-,-,-,-,-,-,-,-,,,
315920 SANTA RITA DE CALDAS,,,-,-,-,-,-,-,-,-,,,
315930 SANTA RITA DE JACUTINGA,,,8,-,2,3,3,2,4,3,,,
315935 SANTA RITA DE MINAS,,,-,-,-,-,-,-,-,-,,,
315940 SANTA RITA DE IBITIPOCA,,,-,-,-,-,-,-,-,-,,,
315950 SANTA RITA DO ITUETO,,,-,-,-,-,-,-,-,-,,,
315960 SANTA RITA DO SAPUCAI,,,27,16,9,8,9,11,13,8,,,
315970 SANTA ROSA DA SERRA,,,-,-,-,-,-,-,-,-,,,
315980 SANTA VITORIA,,,3,1,6,8,4,4,4,-,,,
315990 SANTO ANTONIO DO AMPARO,,,8,15,6,4,11,6,1,-,,,
316000 SANTO ANTONIO DO AVENTUREIRO,,,-,-,-,-,-,-,-,-,,,
316010 SANTO ANTONIO DO GRAMA,,,-,-,-,-,-,-,-,-,,,
316020 SANTO ANTONIO DO ITAMBE,,,-,-,-,-,-,-,-,-,,,
316030 SANTO ANTONIO DO JACINTO,,,-,-,-,-,-,-,-,-,,,
316040 SANTO ANTONIO DO MONTE,,,11,19,6,16,15,15,18,9,,,
316045 SANTO ANTONIO DO RETIRO,,,-,-,-,-,-,-,-,-,,,
316050 SANTO ANTONIO DO RIO ABAIXO,,,-,-,-,-,-,-,-,-,,,
316060 SANTO HIPOLITO,,,-,-,-,-,-,-,-,-,,,
316070 SANTOS DUMONT,,,66,41,8,5,7,18,11,3,,,
316080 SAO BENTO ABADE,,,-,-,-,-,-,-,-,-,,,
316090 SAO BRAS DO SUACUI,,,-,-,-,-,-,-,-,-,,,
316095 SAO DOMINGOS DAS DORES,,,-,-,-,-,-,-,-,-,,,
316100 SAO DOMINGOS DO PRATA,,,6,12,2,2,1,7,8,1,,,
316105 SAO FELIX DE MINAS,,,-,-,-,-,-,-,-,-,,,
316110 SAO FRANCISCO,,,42,23,18,9,14,17,12,10,,,
316120 SAO FRANCISCO DE PAULA,,,-,-,-,-,-,-,-,-,,,
316130 SAO FRANCISCO DE SALES,,,-,-,-,-,-,-,-,-,,,
316140 SAO FRANCISCO DO GLORIA,,,-,-,-,-,-,-,-,-,,,
316150 SAO GERALDO,,,-,-,-,-,-,-,-,-,,,
316160 SAO GERALDO DA PIEDADE,,,-,-,-,-,-,-,-,-,,,
316165 SAO GERALDO DO BAIXIO,,,-,-,-,-,-,-,-,-,,,
316170 SAO GONCALO DO ABAETE,,,-,-,-,-,-,-,-,-,,,
316180 SAO GONCALO DO PARA,,,-,-,-,-,-,-,-,-,,,
316190 SAO GONCALO DO RIO ABAIXO,,,-,-,-,-,-,-,-,-,,,
316200 SAO GONCALO DO SAPUCAI,,,38,25,21,17,18,8,9,-,,,
316210 SAO GOTARDO,,,11,16,8,11,6,11,4,-,,,
316220 SAO JOAO BATISTA DO GLORIA,,,8,-,1,6,12,3,1,2,,,
316225 SAO JOAO DA LAGOA,,,-,-,-,-,-,-,-,-,,,
316230 SAO JOAO DA MATA,,,-,-,-,-,-,-,-,-,,,
316240 SAO JOAO DA PONTE,,,57,27,-,37,33,32,24,28,,,
316245 SAO JOAO DAS MISSOES,,,-,-,-,-,-,-,-,-,,,
316250 SAO JOAO DEL REI,,,101,80,17,21,34,12,12,10,,,
316255 SAO JOAO DO MANHUACU,,,-,-,-,-,-,-,-,-,,,
316257 SAO JOAO DO MANTENINHA,,,-,-,-,-,-,-,-,-,,,
316260 SAO JOAO DO ORIENTE,,,-,-,-,-,-,-,-,-,,,
316265 SAO JOAO DO PACUI,,,-,-,-,-,-,-,-,-,,,
316270 SAO JOAO DO PARAISO,,,24,19,18,21,22,11,8,8,,,
316280 SAO JOAO EVANGELISTA,,,19,19,14,20,16,11,9,16,,,
316290 SAO JOAO NEPOMUCENO,,,1,2,1,1,-,1,-,-,,,
316292 SAO JOAQUIM DE BICAS,,,-,-,-,-,-,-,-,-,,,
316294 SAO JOSE DA BARRA,,,-,-,-,-,-,-,-,-,,,
316295 SAO JOSE DA LAPA,,,-,-,-,-,-,-,-,-,,,
316300 SAO JOSE DA SAFIRA,,,-,-,-,-,-,-,-,-,,,
316310 SAO JOSE DA VARGINHA,,,-,-,-,-,-,-,-,-,,,
316320 SAO JOSE DO ALEGRE,,,-,-,-,-,-,-,-,-,,,
316330 SAO JOSE DO DIVINO,,,-,-,-,-,-,-,-,-,,,
316340 SAO JOSE DO GOIABAL,,,-,-,-,-,-,-,-,-,,,
316350 SAO JOSE DO JACURI,,,-,-,-,-,-,-,-,-,,,
316360 SAO JOSE DO MANTIMENTO,,,-,-,-,-,-,-,-,-,,,
316370 SAO LOURENCO,,,85,74,54,38,39,37,34,22,,,
316380 SAO MIGUEL DO ANTA,,,-,-,-,-,-,-,-,-,,,
316390 SAO PEDRO DA UNIAO,,,2,2,1,1,-,3,1,1,,,
316400 SAO PEDRO DOS FERROS,,,-,-,-,-,-,-,-,-,,,
316410 SAO PEDRO DO SUACUI,,,-,-,-,-,-,-,-,-,,,
316420 SAO ROMAO,,,6,1,1,2,2,1,-,-,,,
316430 SAO ROQUE DE MINAS,,,4,2,-,1,1,2,-,-,,,
316440 SAO SEBASTIAO DA BELA VISTA,,,-,-,-,-,-,-,-,-,,,
316443 SAO SEBASTIAO DA VARGEM ALEGRE,,,-,-,-,-,-,-,-,-,,,
316447 SAO SEBASTIAO DO ANTA,,,-,-,-,-,-,-,-,-,,,
316450 SAO SEBASTIAO DO MARANHAO,,,-,-,-,-,-,-,-,-,,,
316460 SAO SEBASTIAO DO OESTE,,,-,-,-,-,-,-,-,-,,,
316470 SAO SEBASTIAO DO PARAISO,,,86,57,53,39,47,54,26,4,,,
316480 SAO SEBASTIAO DO RIO PRETO,,,-,-,-,-,-,-,-,-,,,
316490 SAO SEBASTIAO DO RIO VERDE,,,-,-,-,-,-,-,-,-,,,
316500 SAO TIAGO,,,8,4,3,4,2,8,3,3,,,
316510 SAO TOMAS DE AQUINO,,,-,-,-,-,-,-,-,-,,,
316520 SAO THOME DAS LETRAS,,,-,-,-,-,-,-,-,-,,,
316530 SAO VICENTE DE MINAS,,,1,3,1,-,1,1,1,-,,,
316540 SAPUCAI-MIRIM,,,-,-,-,-,-,-,-,-,,,
316550 SARDOA,,,-,-,-,-,-,-,-,-,,,
316553 SARZEDO,,,-,-,-,-,-,-,-,-,,,
316555 SETUBINHA,,,-,-,-,-,-,-,-,-,,,
316556 SEM-PEIXE,,,-,-,-,-,-,-,-,-,,,
316557 SENADOR AMARAL,,,-,-,-,-,-,-,-,-,,,
316560 SENADOR CORTES,,,-,-,-,-,-,-,-,-,,,
316570 SENADOR FIRMINO,,,-,-,1,-,3,-,1,-,,,
316580 SENADOR JOSE BENTO,,,-,-,-,-,-,-,-,-,,,
316590 SENADOR MODESTINO GONCALVES,,,-,-,-,-,-,-,-,-,,,
316600 SENHORA DE OLIVEIRA,,,-,-,-,-,-,-,-,-,,,
316610 SENHORA DO PORTO,,,-,-,-,-,-,-,-,-,,,
316620 SENHORA DOS REMEDIOS,,,-,-,-,-,-,-,-,-,,,
316630 SERICITA,,,-,-,-,-,-,-,-,-,,,
316640 SERITINGA,,,-,-,-,-,-,-,-,-,,,
316650 SERRA AZUL DE MINAS,,,-,-,-,-,-,-,-,-,,,
316660 SERRA DA SAUDADE,,,-,-,-,-,-,-,-,-,,,
